,date,ltla_code,rates_sgtf,rates_Nsgtf,excess_growthrate,inf_mov,b117_intro_count_daily,LTLA_name,dateltlacode,date_int,inf_mov_log,inf_mov_st
143,20/11/2020,E06000014,-0.016703452,-0.051074889,0.034371438,NA,0,York,2020-11-20E06000014,47,NA,NA
144,05/11/2020,E06000014,0.018797206,0.085130299,-0.066333093,NA,0,York,2020-11-05E06000014,32,NA,NA
145,03/12/2020,E06000014,0.116032593,0.053306969,0.062725624,NA,0.571428571,York,2020-12-03E06000014,60,NA,NA
146,08/11/2020,E06000014,-0.005098408,-0.05720172,0.052103312,NA,0,York,2020-11-08E06000014,35,NA,NA
147,17/10/2020,E06000014,0.011131862,-0.044478262,0.055610123,NA,0,York,2020-10-17E06000014,13,NA,NA
148,12/01/2021,E06000014,0.010001671,0.015173775,-0.005172104,NA,0.142857143,York,2021-01-12E06000014,100,NA,NA
149,05/10/2020,E06000014,0.036157502,0.034631288,0.001526214,NA,0,York,2020-10-05E06000014,1,NA,NA
150,20/12/2020,E06000014,0.050927586,-0.057472944,0.10840053,NA,0.285714286,York,2020-12-20E06000014,77,NA,NA
151,02/11/2020,E06000014,0.017339249,0.004516499,0.01282275,NA,0,York,2020-11-02E06000014,29,NA,NA
152,08/01/2021,E06000014,-0.053243192,-0.085815461,0.032572269,NA,1.285714286,York,2021-01-08E06000014,96,NA,NA
153,05/12/2020,E06000014,-0.089440849,-0.087568847,-0.001872002,NA,0.571428571,York,2020-12-05E06000014,62,NA,NA
154,13/11/2020,E06000014,0.011885276,0.004613753,0.007271524,NA,0,York,2020-11-13E06000014,40,NA,NA
155,23/12/2020,E06000014,0.133195108,0.064649149,0.068545959,NA,0.285714286,York,2020-12-23E06000014,80,NA,NA
156,08/12/2020,E06000014,0.070017566,0.036456076,0.03356149,NA,0.285714286,York,2020-12-08E06000014,65,NA,NA
157,28/10/2020,E06000014,-0.022479587,0.064828231,-0.087307818,NA,0,York,2020-10-28E06000014,24,NA,NA
158,15/11/2020,E06000014,-0.065628129,-0.112015038,0.046386909,NA,0,York,2020-11-15E06000014,42,NA,NA
159,13/01/2021,E06000014,0.020757651,0.05069389,-0.029936239,NA,0.142857143,York,2021-01-13E06000014,101,NA,NA
160,21/12/2020,E06000014,0.095762683,0.008625296,0.087137387,NA,0.285714286,York,2020-12-21E06000014,78,NA,NA
161,07/12/2020,E06000014,0.062615873,-0.002008108,0.064623981,NA,0.285714286,York,2020-12-07E06000014,64,NA,NA
162,31/10/2020,E06000014,0.004526052,-0.066591664,0.071117716,NA,0,York,2020-10-31E06000014,27,NA,NA
163,17/12/2020,E06000014,0.172282708,0.090756493,0.081526214,NA,0.571428571,York,2020-12-17E06000014,74,NA,NA
164,19/12/2020,E06000014,0.027454893,-0.045665578,0.073120471,NA,0.571428571,York,2020-12-19E06000014,76,NA,NA
165,16/01/2021,E06000014,-0.112079552,-0.094044378,-0.018035174,NA,0.142857143,York,2021-01-16E06000014,104,NA,NA
166,10/11/2020,E06000014,0.075118443,0.054990408,0.020128035,NA,0,York,2020-11-10E06000014,37,NA,NA
167,21/11/2020,E06000014,-0.07111707,-0.128292081,0.05717501,NA,0,York,2020-11-21E06000014,48,NA,NA
168,22/12/2020,E06000014,0.126646419,0.058368839,0.06827758,NA,0.285714286,York,2020-12-22E06000014,79,NA,NA
169,16/10/2020,E06000014,-0.037048121,0.057625223,-0.094673344,NA,0,York,2020-10-16E06000014,12,NA,NA
170,23/11/2020,E06000014,0.013578676,-0.068534541,0.082113217,NA,0.142857143,York,2020-11-23E06000014,50,NA,NA
171,21/10/2020,E06000014,-0.011035569,0.119660295,-0.130695864,NA,0,York,2020-10-21E06000014,17,NA,NA
172,03/01/2021,E06000014,-0.063879909,-0.107307411,0.043427502,NA,1.285714286,York,2021-01-03E06000014,91,NA,NA
173,29/11/2020,E06000014,-0.028248824,-0.108778088,0.080529264,NA,0.571428571,York,2020-11-29E06000014,56,NA,NA
174,28/11/2020,E06000014,-0.025102327,-0.111611991,0.086509664,NA,0.142857143,York,2020-11-28E06000014,55,NA,NA
175,22/10/2020,E06000014,-0.04159345,0.116837515,-0.158430965,NA,0,York,2020-10-22E06000014,18,NA,NA
176,11/01/2021,E06000014,-0.025384103,-0.043299212,0.017915109,NA,0.142857143,York,2021-01-11E06000014,99,NA,NA
177,16/11/2020,E06000014,-0.009268511,-0.047068971,0.03780046,NA,0,York,2020-11-16E06000014,43,NA,NA
178,09/12/2020,E06000014,0.095002006,0.062098676,0.03290333,NA,0.285714286,York,2020-12-09E06000014,66,NA,NA
179,18/11/2020,E06000014,0.036164918,-0.005017326,0.041182244,NA,0,York,2020-11-18E06000014,45,NA,NA
180,11/11/2020,E06000014,0.06203519,0.073203792,-0.011168602,NA,0,York,2020-11-11E06000014,38,NA,NA
181,18/12/2020,E06000014,0.13331893,0.036936527,0.096382403,NA,0.571428571,York,2020-12-18E06000014,75,NA,NA
182,06/11/2020,E06000014,0.001184749,0.039720541,-0.038535793,NA,0,York,2020-11-06E06000014,33,NA,NA
183,24/12/2020,E06000014,0.081405052,0.024554145,0.056850908,NA,0.285714286,York,2020-12-24E06000014,81,NA,NA
184,26/12/2020,E06000014,-0.088146536,-0.16840909,0.080262554,NA,0.285714286,York,2020-12-26E06000014,83,NA,NA
185,09/11/2020,E06000014,0.033740266,0.028671792,0.005068474,NA,0,York,2020-11-09E06000014,36,NA,NA
186,09/10/2020,E06000014,0.01924813,0.057900658,-0.038652528,NA,0,York,2020-10-09E06000014,5,NA,NA
187,14/10/2020,E06000014,-0.043871253,0.085583973,-0.129455226,NA,0,York,2020-10-14E06000014,10,NA,NA
188,01/12/2020,E06000014,0.063861478,0.020100491,0.043760987,NA,0.571428571,York,2020-12-01E06000014,58,NA,NA
189,24/11/2020,E06000014,0.045036938,-0.017301928,0.062338866,NA,0.142857143,York,2020-11-24E06000014,51,NA,NA
190,07/11/2020,E06000014,-0.000950442,-0.077991303,0.077040862,NA,0,York,2020-11-07E06000014,34,NA,NA
191,20/10/2020,E06000014,0.0258914,0.084410838,-0.058519438,NA,0,York,2020-10-20E06000014,16,NA,NA
192,12/10/2020,E06000014,0.011484184,-0.035149652,0.046633836,NA,0,York,2020-10-12E06000014,8,NA,NA
193,06/10/2020,E06000014,0.022017894,0.057854488,-0.035836594,NA,0,York,2020-10-06E06000014,2,NA,NA
194,03/11/2020,E06000014,0.005612442,0.043716063,-0.038103621,NA,0,York,2020-11-03E06000014,30,NA,NA
195,26/11/2020,E06000014,0.050941557,0.022908313,0.028033245,NA,0.142857143,York,2020-11-26E06000014,53,NA,NA
196,08/10/2020,E06000014,0.004367484,0.116105999,-0.111738515,NA,0,York,2020-10-08E06000014,4,NA,NA
197,25/11/2020,E06000014,0.07103906,0.015245881,0.055793179,NA,0.142857143,York,2020-11-25E06000014,52,NA,NA
198,15/01/2021,E06000014,-0.021713059,-0.005276748,-0.016436311,NA,0.142857143,York,2021-01-15E06000014,103,NA,NA
199,29/10/2020,E06000014,-0.000282408,0.086735871,-0.087018279,NA,0,York,2020-10-29E06000014,25,NA,NA
200,04/12/2020,E06000014,-0.009068404,0.011381644,-0.020450048,NA,0.571428571,York,2020-12-04E06000014,61,NA,NA
201,09/01/2021,E06000014,-0.111657914,-0.121470898,0.009812984,NA,1.285714286,York,2021-01-09E06000014,97,NA,NA
202,07/10/2020,E06000014,0.026220351,0.092466356,-0.066246004,NA,0,York,2020-10-07E06000014,3,NA,NA
203,13/10/2020,E06000014,-0.017596482,0.020760029,-0.038356511,NA,0,York,2020-10-13E06000014,9,NA,NA
204,22/11/2020,E06000014,-0.051787876,-0.123364394,0.071576519,NA,0.142857143,York,2020-11-22E06000014,49,NA,NA
205,25/12/2020,E06000015,-0.120999561,-0.182304727,0.061305166,NA,0,Derby,2020-12-25E06000015,82,NA,NA
206,18/11/2020,E06000015,0.030079675,0.009436481,0.020643195,NA,0,Derby,2020-11-18E06000015,45,NA,NA
207,28/10/2020,E06000015,0.030944055,0.067004896,-0.036060841,NA,0,Derby,2020-10-28E06000015,24,NA,NA
208,11/10/2020,E06000015,-0.012114025,-0.074198419,0.062084395,NA,0,Derby,2020-10-11E06000015,7,NA,NA
209,14/10/2020,E06000015,-0.035187256,0.085261143,-0.120448399,NA,0,Derby,2020-10-14E06000015,10,NA,NA
210,11/11/2020,E06000015,0.087836984,0.065914212,0.021922772,NA,0,Derby,2020-11-11E06000015,38,NA,NA
211,06/11/2020,E06000015,0.048867012,0.028088067,0.020778945,NA,0,Derby,2020-11-06E06000015,33,NA,NA
212,01/01/2021,E06000015,-0.032267605,-0.070866838,0.038599233,NA,0,Derby,2021-01-01E06000015,89,NA,NA
213,17/10/2020,E06000015,0.020558851,-0.035724782,0.056283633,NA,0,Derby,2020-10-17E06000015,13,NA,NA
214,15/10/2020,E06000015,-0.031655474,0.107578308,-0.139233782,NA,0,Derby,2020-10-15E06000015,11,NA,NA
215,08/12/2020,E06000015,0.099233458,0.04011189,0.059121568,NA,0.285714286,Derby,2020-12-08E06000015,65,NA,NA
216,19/11/2020,E06000015,0.017574285,0.008533942,0.009040343,NA,0,Derby,2020-11-19E06000015,46,NA,NA
217,08/11/2020,E06000015,-0.002720076,-0.058176268,0.055456192,NA,0,Derby,2020-11-08E06000015,35,NA,NA
218,03/12/2020,E06000015,0.174540538,0.050113777,0.12442676,NA,0.142857143,Derby,2020-12-03E06000015,60,NA,NA
219,06/12/2020,E06000015,0.003343548,-0.07083488,0.074178429,NA,0.285714286,Derby,2020-12-06E06000015,63,NA,NA
220,07/01/2021,E06000015,-0.019211547,-0.059655442,0.040443895,NA,0,Derby,2021-01-07E06000015,95,NA,NA
